eeacellcode	T	Sobs	Q1	Q2	U	C1_hat	C1_lo	C1_hi	C1_width	C0_hat	C0_lo	C0_hi	C0_width	reliable_complete
5kmE3995N3085	3605	2380	907	363	26945	0.9663463127894296	0.9789690509298287	0.986035112705372	0.007066061775543364	0.6775200783157548	0.7871067890287746	0.9051933219910736	0.11808653296229898	True
5kmE3970N3085	4418	1344	460	185	23370	0.9803202290120401	0.9871089511737099	0.9914625059512507	0.004353554777540847	0.7015483588776396	0.7993742200454003	0.9229139575876266	0.12353973754222636	True
5kmE3985N3085	3662	1455	502	206	18796	0.9732981757999153	0.9824895899260223	0.9893652248935608	0.006875634967538513	0.7040913681784279	0.8090567322956872	0.9212578555545273	0.11220112325884013	True
5kmE3985N3090	3972	1579	596	214	24057	0.9752299855313403	0.9847341928680702	0.9895500728825376	0.004815880014467422	0.65553081402959	0.8038275720829838	0.9038374784335289	0.10000990635054507	True
5kmE3970N3090	4734	1405	422	169	35770	0.9882044003745271	0.9924997138557721	0.9950301891381781	0.0025304752824060195	0.7273143496843937	0.8286526573520753	0.9268782139613014	0.09822555660922616	True
5kmE3980N3090	4555	2251	792	300	28190	0.9719096037740971	0.9825452849253618	0.9884536537926294	0.005908368867267644	0.682905418243129	0.802463614292671	0.9136331053365286	0.11116949104385765	True
5kmE3975N3090	4873	1909	670	235	39071	0.9828542001928335	0.9894410953654836	0.992946354059331	0.003505258693847324	0.66657113683609	0.7967842320760907	0.9126943687535818	0.11591013667749106	True
5kmE3965N3085	6120	1752	611	237	32036	0.9809301240422688	0.9876804120240638	0.9920454949783647	0.004365082954300936	0.6899081838059813	0.7981385043654806	0.9130096997008451	0.1148711953353645	True
5kmE3940N3085	5614	1954	736	246	28413	0.9740994489572838	0.9839210390168935	0.991101759167362	0.007180720150468445	0.6396465617077038	0.781750278839975	0.9383582687427503	0.15660798990277525	True
5kmE3955N3085	4797	2216	810	289	27124	0.9701415904427417	0.9810853405766146	0.9880852807402059	0.0069999401635912895	0.6613179344136636	0.7852351183220707	0.9169685444400457	0.131733426117975	True
5kmE3945N3085	2990	1095	566	160	9323	0.9393014093071596	0.961684041933739	0.9805266737201641	0.01884263178642509	0.5224790828587885	0.6592038095345277	0.922969314718436	0.2637655051839083	True
5kmE3960N3085	6305	2064	740	277	34626	0.9786313137606246	0.9873647627542623	0.9909846354500755	0.003619872695813209	0.6762134017364783	0.8157890359707696	0.9072942661534246	0.091505230182655	True
5kmE3950N3085	1887	960	543	149	5006	0.8915617180180039	0.9320877534728789	0.960798671773462	0.028710918300583144	0.4925850969599853	0.644249446855956	0.8862806924844021	0.24203124562844613	True
