eeacellcode	C1_lo
5kmE4025N3120	0.986918119664601
5kmE4010N3120	0.9671654720420442
5kmE4025N3125	0.9706858492947031
5kmE4020N3125	0.9747393162340695
5kmE4005N3125	0.9761586071525866
5kmE4010N3125	0.9820829963438582
5kmE4015N3125	0.986384199489291
5kmE4030N3125	0.9758306019696751
5kmE4020N3130	0.9043257310815898
5kmE4015N3130	0.977471166373038
5kmE4025N3130	0.8638007550402956
5kmE4005N3130	0.9800314991487871
5kmE4010N3130	0.9813581720572256
5kmE4010N3135	0.9603364465696146
5kmE4005N3135	0.9854561209125362
5kmE3975N3130	0.9838470474953408
5kmE4000N3130	0.9809593557830755
5kmE3990N3130	0.9831667730197062
5kmE3995N3130	0.9812021757603827
5kmE3980N3130	0.9823862123328825
5kmE3985N3130	0.9841486452248415
5kmE3975N3135	0.9842469829271824
5kmE3995N3135	0.9841402064818566
5kmE4000N3135	0.9876593591602723
5kmE3990N3135	0.9817524833671148
5kmE3980N3135	0.9770955248369265
5kmE3985N3135	0.9834103600901699
5kmE3995N3140	0.9516736065454915
5kmE3975N3140	0.9769202537010029
5kmE3990N3140	0.9231542347760764
5kmE4000N3140	0.9595598532694369
5kmE3985N3140	0.9687818422277404
5kmE3980N3140	0.9742042911120132
5kmE3990N3145	0.7707342123613325
5kmE4005N3140	0.9617833624920609
5kmE4010N3140	0.8664556047032265
5kmE3980N3145	0.9778712942007584
5kmE3985N3145	0.9379647283318974
5kmE3975N3145	0.9861764407706543
5kmE3980N3150	0.9478832681381881
5kmE3975N3150	0.9702283847728658
5kmE3940N3150	0.9841117349804364
5kmE3920N3155	0.9666126371333863
5kmE3940N3155	0.9864511891501648
5kmE3915N3155	0.9651863437673751
5kmE3925N3155	0.9592385240384803
5kmE3935N3155	0.9882511363674457
5kmE3930N3155	0.9873699892012322
5kmE3935N3160	0.9876248467659249
5kmE3940N3160	0.9829019819224589
5kmE3960N3150	0.9843130080353791
5kmE3945N3150	0.9834444457943794
5kmE3950N3155	0.9733190906701567
5kmE3955N3155	0.9845531365870566
5kmE3965N3155	0.9761245898550115
5kmE3960N3155	0.9846353781321237
5kmE3945N3155	0.9781024422989705
5kmE3970N3155	0.9702854102495347
5kmE3945N3160	0.9279008647822905
5kmE3965N3160	0.9387334688696847
5kmE3980N3155	0.8367280760917772
5kmE3975N3155	0.9572267220122395
5kmE3970N3160	0.9512857429889233
5kmE3975N3160	0.9470857011659488
5kmE3980N3160	0.8453543579145534
5kmE3975N3165	0.6900528288838269
5kmE3960N3160	0.9739300065666499
5kmE3950N3160	0.9539028510208565
5kmE3955N3160	0.9819159456945129
5kmE3950N3165	0.8507396721823361
5kmE3970N3165	0.687915082722909
5kmE3960N3165	0.9255496288149152
5kmE3955N3165	0.9605692488255654
5kmE3955N3170	0.5044256366784503
5kmE3930N3160	0.9851126788871732
5kmE3925N3160	0.9655434488128679
